source,target,weight,hss_score
2000,2726,6,1.0
574,616,186,1.0
807,798,17,1.0
807,789,16,1.0
807,787,45,1.0
807,786,31,1.0
807,784,16,1.0
807,783,53,1.0
574,2219,97,1.0
807,775,22,1.0
574,606,188,1.0
574,614,242,1.0
574,2220,40,1.0
574,2221,71,1.0
807,439,30,1.0
813,2293,42,1.0
574,637,87,1.0
574,641,125,1.0
807,190,15,1.0
574,2222,58,1.0
807,186,47,1.0
807,168,28,1.0
1321,1335,350,1.0
574,2223,61,1.0
574,2224,76,1.0
1341,1319,113,1.0
1341,1337,71,1.0
807,166,44,1.0
574,2218,59,1.0
807,801,84,1.0
807,796,18,1.0
574,2217,53,1.0
1059,1058,132,1.0
813,2007,24,1.0
813,812,88,1.0
807,1994,5,1.0
1059,1063,200,1.0
807,162,25,1.0
1059,1070,368,1.0
574,545,77,1.0
807,1388,86,1.0
574,558,82,1.0
807,2115,137,1.0
807,2292,25,1.0
1068,458,82,1.0
1068,1056,8,1.0
225,2093,92,1.0
225,229,12,1.0
807,2291,56,1.0
1068,1062,46,1.0
1068,1067,24,1.0
1068,2346,66,1.0
1068,2348,83,1.0
1068,2350,32,1.0
574,567,7,1.0
574,572,96,1.0
1101,1099,32,1.0
1347,1329,31,1.0
1347,1331,8,1.0
1347,2689,8,1.0
1570,1933,6,1.0
1591,1587,108,1.0
1591,1588,36,1.0
574,2228,27,1.0
574,721,60,1.0
758,773,430,1.0
758,772,513,1.0
758,2286,45,1.0
1598,1581,72,1.0
1598,1582,117,1.0
574,734,246,1.0
1598,1583,252,1.0
1598,1584,18,1.0
1598,1585,293,1.0
1598,1586,215,1.0
574,2230,23,1.0
1598,1589,138,1.0
758,2284,16,1.0
1598,1592,216,1.0
1598,1593,165,1.0
1598,1594,71,1.0
1598,1595,390,1.0
1598,1596,22,1.0
758,764,481,1.0
1598,2589,210,1.0
758,760,309,1.0
1570,1934,16,1.0
574,2227,57,1.0
1428,2536,6,1.0
766,212,57,1.0
807,159,45,1.0
1428,1505,55,1.0
1428,1433,51,1.0
1428,1929,113,1.0
574,2225,58,1.0
800,2289,68,1.0
1428,2538,50,1.0
1429,2011,19,1.0
1429,2537,32,1.0
204,2089,86,1.0
