source,target,weight,df_alpha
571,647,7566,9.574131765099914e-05
730,663,6626,0.000191700218232
571,733,8269,0.0002294330977375
730,673,4457,0.0028986771922965
700,736,4778,0.0060390264577915
597,702,5512,0.0070696704238975
554,736,4506,0.0083582924905288
506,723,3563,0.0089300227515773
575,720,4081,0.0096600130951354
663,723,3164,0.0169486761261233
700,730,6956,0.0197647301492271
597,682,2645,0.0208529902074676
691,712,2113,0.0224361502496136
506,498,2532,0.0236580654574067
733,648,3959,0.0285099000740489
2191,574,2252,0.0315652662524418
702,673,2758,0.0326958768064029
506,2190,2637,0.0327218578337329
571,702,3906,0.0330658433843633
691,2190,2470,0.0420628467590502
733,645,2004,0.0431456343718571
554,730,5468,0.0484913584300411
575,613,1390,0.0490732156426603
645,648,3288,0.0541381049703244
571,653,1691,0.056323336880066
571,578,2523,0.0614371178412298
591,736,2659,0.0674688423150222
597,498,1896,0.0680027786875631
571,736,2642,0.0687169631798076
625,702,3011,0.0751954279390332
