source,target,infection_participation,weight
Napoleon,Myriel,0.09185,1
Myriel,MlleBaptistine,0.19966,8
Myriel,MmeMagloire,0.21552,10
Myriel,CountessDeLo,0.09178,1
Myriel,Geborand,0.09183,1
Myriel,Champtercier,0.09077,1
Myriel,Cravatte,0.09145,1
Myriel,Count,0.14036,2
Myriel,OldMan,0.09175,1
Myriel,Valjean,0.05219,1
MlleBaptistine,MmeMagloire,0.18646,6
MlleBaptistine,Valjean,0.14753,3
MmeMagloire,Valjean,0.14703,3
Valjean,Labarre,0.21772,5
Valjean,Marguerite,0.0586,1
Valjean,MmeDeR,0.06345,1
Valjean,Isabeau,0.06297,1
Valjean,Gervais,0.06274,1
Valjean,Fantine,0.0755,3
Valjean,MmeThenardier,0.04243,2
Valjean,Thenardier,0.25157,13
Valjean,Cosette,0.10148,4
Valjean,Javert,0.27363,17
Valjean,Fauchelevent,0.27616,8
Valjean,Bamatabois,0.03657,1
Valjean,Simplice,0.09358,2
Valjean,Scaufflaire,0.06266,1
Valjean,Woman1,0.1038,2
Valjean,Judge,0.10835,3
Valjean,Champmathieu,0.10958,3
Valjean,Brevet,0.07652,2
Valjean,Chenildieu,0.07757,2
Valjean,Cochepaille,0.07719,2
Valjean,Woman2,0.13742,3
Valjean,MotherInnocent,0.13691,3
Valjean,Gavroche,0.04594,2
Valjean,Gillenormand,0.12048,3
Valjean,MlleGillenormand,0.26916,9
Valjean,Marius,0.10604,6
Valjean,Enjolras,0.15827,7
Valjean,Bossuet,0.12498,5
Valjean,Gueulemer,0.15338,5
Valjean,Babet,0.15971,6
Valjean,Claquesous,0.11122,4
Valjean,Montparnasse,0.03627,1
Valjean,Toussaint,0.09874,2
Marguerite,Fantine,0.27707,3
Listolier,Tholomyes,0.15461,4
Listolier,Fameuil,0.21777,4
Listolier,Blacheville,0.21316,4
Listolier,Favourite,0.16428,3
Listolier,Dahlia,0.17693,3
Listolier,Zephine,0.16072,3
Listolier,Fantine,0.13571,3
Tholomyes,Fameuil,0.15125,4
Tholomyes,Blacheville,0.15304,4
Tholomyes,Favourite,0.11556,3
Tholomyes,Dahlia,0.12073,3
Tholomyes,Zephine,0.11489,3
Tholomyes,Fantine,0.10169,3
Tholomyes,Cosette,0.58134,31
Tholomyes,Marius,0.27324,12
Fameuil,Blacheville,0.20961,4
Fameuil,Favourite,0.16285,3
Fameuil,Dahlia,0.17349,3
Fameuil,Zephine,0.15505,3
Fameuil,Fantine,0.1738,4
Blacheville,Favourite,0.19975,4
Blacheville,Dahlia,0.16963,3
Blacheville,Zephine,0.15104,3
Blacheville,Fantine,0.17113,4
Favourite,Dahlia,0.25364,5
Favourite,Zephine,0.19296,4
Favourite,Fantine,0.17091,4
Dahlia,Zephine,0.20609,4
Dahlia,Fantine,0.09451,2
Zephine,Fantine,0.32114,9
Fantine,MmeThenardier,0.29966,7
Fantine,Thenardier,0.05028,1
Fantine,Javert,0.20795,5
Fantine,Bamatabois,0.10768,1
Fantine,Perpetue,0.11086,1
Fantine,Simplice,0.24692,3
MmeThenardier,Thenardier,0.34342,12
MmeThenardier,Cosette,0.05963,1
MmeThenardier,Javert,0.1937,5
MmeThenardier,Eponine,0.09114,2
MmeThenardier,Anzelma,0.21506,2
MmeThenardier,Magnon,0.15361,1
MmeThenardier,Gueulemer,0.08438,1
MmeThenardier,Babet,0.31168,6
MmeThenardier,Claquesous,0.23053,4
Thenardier,Cosette,0.0577,1
Thenardier,Javert,0.04126,1
Thenardier,Pontmercy,0.09216,1
Thenardier,Boulatruelle,0.13809,1
Thenardier,Eponine,0.1227,3
Thenardier,Anzelma,0.19726,2
Thenardier,Gavroche,0.03861,1
Thenardier,Marius,0.02935,1
Thenardier,Gueulemer,0.07479,1
Thenardier,Babet,0.05897,1
Thenardier,Claquesous,0.21033,4
Thenardier,Montparnasse,0.1447,2
Thenardier,Brujon,0.19989,3
Cosette,Javert,0.0527,1
Cosette,Woman2,0.1445,1
Cosette,Gillenormand,0.18756,2
Cosette,MlleGillenormand,0.15852,2
Cosette,LtGillenormand,0.19551,2
Cosette,Marius,0.02862,1
Cosette,Toussaint,0.14664,1
Javert,Fauchelevent,0.11223,1
Javert,Bamatabois,0.1824,2
Javert,Simplice,0.19482,2
Javert,Woman1,0.13324,1
Javert,Woman2,0.12409,1
Javert,Gavroche,0.04056,1
Javert,Enjolras,0.27107,7
Javert,Gueulemer,0.07871,1
Javert,Babet,0.06573,1
Javert,Claquesous,0.06762,1
Javert,Montparnasse,0.15651,2
Javert,Toussaint,0.12598,1
Fauchelevent,MotherInnocent,0.20164,1
Fauchelevent,Gribier,0.26161,2
Bamatabois,Judge,0.15978,2
Bamatabois,Champmathieu,0.22129,3
Bamatabois,Brevet,0.17834,2
Bamatabois,Chenildieu,0.17787,2
Bamatabois,Cochepaille,0.17103,2
Perpetue,Simplice,0.27342,1
Judge,Champmathieu,0.15613,2
Judge,Brevet,0.17725,2
Judge,Chenildieu,0.17842,2
Judge,Cochepaille,0.16528,2
Champmathieu,Brevet,0.09992,1
Champmathieu,Chenildieu,0.17866,2
Champmathieu,Cochepaille,0.16868,2
Brevet,Chenildieu,0.11535,1
Brevet,Cochepaille,0.19235,2
Chenildieu,Cochepaille,0.11164,1
Pontmercy,MmePontmercy,0.21088,1
Pontmercy,Marius,0.48558,21
Eponine,Anzelma,0.13099,1
Eponine,Marius,0.35596,19
Eponine,Mabeuf,0.05843,1
Eponine,Courfeyrac,0.28152,9
Eponine,Gueulemer,0.08711,1
Eponine,Babet,0.13475,2
Eponine,Claquesous,0.07267,1
Eponine,Montparnasse,0.16556,2
Eponine,Brujon,0.21793,3
MmeBurgon,Jondrette,0.08452,1
MmeBurgon,Gavroche,0.09627,1
Gavroche,Marius,0.01754,1
Gavroche,Mabeuf,0.02819,1
Gavroche,Enjolras,0.13181,6
Gavroche,Combeferre,0.29508,15
Gavroche,Prouvaire,0.03275,1
Gavroche,Feuilly,0.05601,2
Gavroche,Courfeyrac,0.29017,17
Gavroche,Bahorel,0.13955,5
Gavroche,Bossuet,0.22975,12
Gavroche,Joly,0.1215,5
Gavroche,Grantaire,0.11639,3
Gavroche,Gueulemer,0.06672,1
Gavroche,Babet,0.05653,1
Gavroche,Montparnasse,0.0677,1
Gavroche,Child1,0.13484,2
Gavroche,Child2,0.13593,2
Gavroche,Brujon,0.16595,3
Gavroche,MmeHucheloup,0.0611,1
Gillenormand,Magnon,0.29225,1
Gillenormand,MlleGillenormand,0.27453,2
Gillenormand,LtGillenormand,0.24134,1
Gillenormand,Marius,0.09111,2
Gillenormand,BaronessT,0.28158,1
MlleGillenormand,MmePontmercy,0.22756,1
MlleGillenormand,MlleVaubois,0.21451,1
MlleGillenormand,LtGillenormand,0.18237,1
MlleGillenormand,Marius,0.18286,5
LtGillenormand,Marius,0.17075,4
Marius,BaronessT,0.06496,1
Marius,Mabeuf,0.02573,1
Marius,Enjolras,0.02239,1
Marius,Combeferre,0.10949,5
Marius,Feuilly,0.14583,6
Marius,Courfeyrac,0.20791,13
Marius,Bahorel,0.12975,5
Marius,Bossuet,0.10332,5
Marius,Joly,0.15557,7
Mabeuf,Enjolras,0.13835,4
Mabeuf,Combeferre,0.21367,6
Mabeuf,Feuilly,0.10196,2
Mabeuf,Courfeyrac,0.20597,7
Mabeuf,Bahorel,0.26775,6
Mabeuf,Bossuet,0.13525,4
Mabeuf,Joly,0.12973,3
Mabeuf,MotherPlutarch,0.3388,3
Enjolras,Combeferre,0.06297,2
Enjolras,Prouvaire,0.16177,4
Enjolras,Feuilly,0.17413,5
Enjolras,Courfeyrac,0.05511,2
Enjolras,Bahorel,0.07711,2
Enjolras,Bossuet,0.23508,10
Enjolras,Joly,0.15634,5
Enjolras,Grantaire,0.1542,3
Enjolras,Claquesous,0.0727,1
Enjolras,MmeHucheloup,0.08127,1
Combeferre,Prouvaire,0.0987,2
Combeferre,Feuilly,0.04321,1
Combeferre,Courfeyrac,0.02823,1
Combeferre,Bahorel,0.16225,4
Combeferre,Bossuet,0.1645,6
Combeferre,Joly,0.16916,5
Combeferre,Grantaire,0.06931,1
Prouvaire,Feuilly,0.066,1
Prouvaire,Courfeyrac,0.20829,6
Prouvaire,Bahorel,0.1874,3
Prouvaire,Bossuet,0.08505,2
Prouvaire,Joly,0.23495,5
Prouvaire,Grantaire,0.1988,2
Feuilly,Courfeyrac,0.10124,3
Feuilly,Bahorel,0.1118,2
Feuilly,Bossuet,0.27305,9
Feuilly,Joly,0.09247,2
Feuilly,Grantaire,0.1687,2
Courfeyrac,Bahorel,0.03613,1
Courfeyrac,Bossuet,0.02601,1
Courfeyrac,Joly,0.1369,5
Courfeyrac,Grantaire,0.05127,1
Courfeyrac,MmeHucheloup,0.07623,1
Bahorel,Bossuet,0.03925,1
Bahorel,Joly,0.04898,1
Bahorel,Grantaire,0.09463,1
Bahorel,MmeHucheloup,0.14298,1
Bossuet,Joly,0.06614,2
Bossuet,Grantaire,0.05743,1
Bossuet,MmeHucheloup,0.08428,1
Joly,Grantaire,0.07452,1
Joly,MmeHucheloup,0.11318,1
Grantaire,MmeHucheloup,0.23241,1
Gueulemer,Babet,0.14042,1
Gueulemer,Claquesous,0.14887,1
Gueulemer,Montparnasse,0.19269,1
Gueulemer,Brujon,0.18557,1
Babet,Claquesous,0.11311,1
Babet,Montparnasse,0.15009,1
Babet,Brujon,0.14102,1
Claquesous,Montparnasse,0.15501,1
Claquesous,Brujon,0.15074,1
Montparnasse,Brujon,0.19093,1
Child1,Child2,0.21521,3
